id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
345789e0,7800D5,18,33100,454,,A319,B-6215,1710304781,LJG,SJW,JD5525,JD,0,0,CBJ5525,CBJ
3457ae19,7806BD,187,16700,342,,A320,B-6726,1710304794,HIA,JJN,JD5528,JD,0,64,CBJ5528,CBJ
3457add3,781538,184,8950,294,,A321,B-302U,1710304791,LYI,SYX,JD5542,JD,0,640,CBJ5542,CBJ
3457a784,781539,51,31100,505,,A321,B-302V,1710304791,TFU,PKX,JD5560,JD,0,0,CBJ5560,CBJ
34578d33,780EC8,349,30075,422,,A321,B-8188,1710304792,KHN,HET,JD5601,JD,0,0,CBJ5601,CBJ
34579cdf,781297,18,31100,466,,A321,B-1012,1710304795,WUH,SHE,JD5627,JD,0,64,CBJ5627,CBJ
34577f33,781B39,201,38075,383,,A20N,B-322M,1710304792,PKX,KMG,JD5629,JD,0,0,CBJ5629,CBJ
34578132,780692,243,36100,364,,A320,B-6709,1710304789,CGO,LJG,JD5646,JD,0,0,CBJ5646,CBJ
3457a03c,78085B,177,22600,388,,A320,B-6858,1710304787,YIH,KWE,JD5689,JD,0,0,CBJ5689,CBJ
34578a6e,78137E,143,22475,445,,A20N,B-1249,1710304793,CKG,HGH,JD5692,JD,0,-960,CBJ5692,CBJ
3457ab9f,7806BE,271,14800,312,,A320,B-6727,1710304790,TSN,LJG,JD5740,JD,0,0,CBJ5740,CBJ
34579241,780FCE,5,33125,436,,A321,B-8553,1710304792,HAK,TNA,JD5795,JD,0,0,CBJ5795,CBJ
3457983b,78137A,67,35100,532,,A20N,B-1245,1710304788,JHG,PVG,JD5830,JD,0,0,CBJ5830,CBJ
34577456,78085D,26,20700,383,,A320,B-6769,1710304787,HAK,SJW,JD5881,JD,0,0,CBJ5881,CBJ
34578908,780E8F,49,7650,277,,A320,B-8171,1710304772,SJW,CGQ,JD5915,JD,0,-1088,CBJ5915,CBJ
34578b35,7804D8,198,11050,146,,A319,B-6182,1710304787,BZX,LJG,JD5944,JD,0,-896,CBJ5944,CBJ
34578df6,780B6F,17,35525,440,,A320,B-9962,1710304795,KWE,PKX,JD5960,JD,0,0,CBJ5960,CBJ
345797df,780518,24,31100,461,,A320,B-6725,1710304792,HAK,HGH,JD5969,JD,0,0,CBJ5969,CBJ
3455d43e,78131E,216,39000,460,,A332,B-1043,1710304794,HGH,MAD,JD605,JD,0,0,CBJ605,CBJ
3457a286,781B3E,239,25600,354,,A21N,B-322L,1710304787,NKG,BKK,JD619,JD,0,0,CBJ619,CBJ
3457af7a,780868,25,5875,257,,A320,B-6882,1710304771,,,,,0,832,,CCA
3457a7e9,780B5D,183,27600,433,,B738,B-5851,1710304799,DLC,HKG,CA105,CA,0,0,CCA105,CCA
3457a089,781B58,269,21700,335,,AJ27,B-650W,1710304799,PEK,BAV,CA1107,CA,0,0,CCA1107,CCA
3457628c,78086C,160,0,14,,B77W,B-2031,1710304797,PEK,HKG,CA111,CA,1,0,CCA111,CCA
34579fcb,780699,244,21700,356,,B738,B-1956,1710304796,PEK,YCU,CA1127,CA,0,0,CCA1127,CCA
3457aa11,7803F4,274,25925,364,,A321,B-6326,1710304795,PEK,INC,CA1219,CA,0,1920,CCA1219,CCA
34579df7,780D80,219,27600,382,,B738,B-1761,1710304793,PEK,XIY,CA1223,CA,0,-64,CCA1223,CCA
34578e14,7803F8,100,27425,474,,B738,B-5343,1710304799,XIY,PEK,CA1232,CA,0,0,CCA1232,CCA
3457a141,780426,264,32100,411,,B738,B-7181,1710304799,PEK,KRY,CA1233,CA,0,0,CCA1233,CCA
34579f4e,7803F5,268,27600,357,,A321,B-6327,1710304795,ICN,PEK,CA124,CA,0,0,CCA124,CCA
34579030,780CBA,260,38100,425,,A333,B-5957,1710304791,PEK,URC,CA1253,CA,0,0,CCA1253,CCA
34578ff1,780C98,95,28750,478,,B738,B-1976,1710304791,XNN,PEK,CA1268,CA,0,0,CCA1268,CCA
3457a53f,7BB0FE,273,27600,384,,B737,B-2613,1710304795,PEK,LHW,CA1271,CA,0,0,CCA1271,CCA
3457a78c,781862,91,31125,487,,A21N,B-30D9,1710304799,INC,PEK,CA1282,CA,0,-64,CCA1282,CCA
34577eaa,781329,108,35100,480,,B38M,B-1223,1710304799,URC,PEK,CA1296,CA,0,0,CCA1296,CCA
34578406,780AE5,5,35100,484,,B77W,B-2039,1710304799,SZX,PEK,CA1308,CA,0,0,CCA1308,CCA
345797d2,781FB4,184,38100,470,,A359,B-32F1,1710304780,PEK,SZX,CA1313,CA,0,0,CCA1313,CCA
34578d3d,78103D,192,38100,456,,B77W,B-7952,1710304799,PEK,CAN,CA1315,CA,0,64,CCA1315,CCA
34577eb4,781E13,25,35125,507,,A359,B-32AS,1710304799,CAN,PEK,CA1330,CA,0,0,CCA1330,CCA
3457a8e8,781347,242,34075,404,,A359,B-1085,1710304788,PEK,CAN,CA1339,CA,0,960,CCA1339,CCA
3457ab7e,7808AC,227,30125,392,,B77W,B-2032,1710304797,PEK,SZX,CA1341,CA,0,2240,CCA1341,CCA
3457a94b,780BF4,63,22600,469,,B738,B-1946,1710304795,SWA,PEK,CA1348,CA,0,0,CCA1348,CCA
3457a8a3,78115D,25,29200,454,,A333,B-8386,1710304799,SYX,PEK,CA1354,CA,0,1600,CCA1354,CCA
34579d39,7812CF,3,39100,458,,B789,B-1368,1710304795,CAN,PEK,CA1360,CA,0,-64,CCA1360,CCA
34579893,78048C,355,37100,449,,A332,B-6130,1710304799,HAK,PEK,CA1362,CA,0,0,CCA1362,CCA
3457745b,7813C1,221,13800,346,,B77W,B-1266,1710304791,PEK,SZX,CA1383,CA,0,0,CCA1383,CCA
345765e3,78115C,173,37100,488,,A333,B-8385,1710304797,PEK,SYX,CA1387,CA,0,0,CCA1387,CCA
3457ac06,7812E2,12,14350,341,,B38M,B-1399,1710304799,CSX,PEK,CA1390,CA,0,0,CCA1390,CCA
3457a2f4,780BF2,196,32100,419,,B738,B-1942,1710304799,PEK,WGN,CA1391,CA,0,0,CCA1391,CCA
34579906,781E4D,3,41100,442,,A359,B-32CE,1710304795,SZX,PEK,CA1394,CA,0,0,CCA1394,CCA
3457a972,781B5C,20,29800,499,,A359,B-322Z,1710304799,KMG,PEK,CA1404,CA,0,832,CCA1404,CCA
3457973f,780254,17,33100,428,,B737,B-5228,1710304798,CTU,PEK,CA1406,CA,0,0,CCA1406,CCA
3457a537,780525,47,31100,494,,A321,B-6555,1710304799,TFU,PEK,CA1418,CA,0,0,CCA1418,CCA
3457ab49,781F2F,16,0,0,,A359,B-32DN,1710304788,CTU,PEK,CA1422,CA,1,0,CCA1422,CCA
3457a66e,78100A,35,36700,547,,B789,B-7832,1710304799,CKG,PEK,CA1432,CA,0,1408,CCA1432,CCA
3457709f,781343,223,36100,408,,A359,B-1080,1710304795,PEK,KMG,CA1445,CA,0,0,CCA1445,CCA
34576bae,780068,63,26600,486,,A319,B-6046,1710304789,MIG,PEK,CA1454,CA,0,0,CCA1454,CCA
345798da,7BB0DD,243,32100,397,,B737,B-5044,1710304799,PEK,GYS,CA1457,CA,0,0,CCA1457,CCA
34579c85,7812DC,4,31100,452,,B38M,B-1392,1710304799,KWE,PEK,CA1462,CA,0,-64,CCA1462,CCA
345794fb,781B2E,46,33100,397,,A20N,B-322K,1710304778,LJG,PEK,CA1470,CA,0,0,CCA1470,CCA
34578acf,780292,197,27600,435,,B738,B-1416,1710304797,PEK,WMT,CA1491,CA,0,0,CCA1491,CCA
3457aa8a,78090E,50,2700,186,,A321,B-6942,1710304796,TPE,HGH,CA150,CA,0,576,CCA150,CCA
34576b78,78096E,352,13225,285,,B737,B-5296,1710304799,DLU,PEK,CA1500,CA,0,-1792,CCA1500,CCA
345796da,78076B,352,30100,466,,B77W,B-2085,1710304799,SHA,PEK,CA1508,CA,0,0,CCA1508,CCA
3457a53d,780FE2,168,31100,443,,B738,B-7897,1710304799,PEK,KHN,CA1511,CA,0,0,CCA1511,CCA
34578ec6,78048E,94,5175,206,,A332,B-6131,1710304793,PEK,SHA,CA1523,CA,0,-1344,CCA1523,CCA
3457a1b0,7805A0,0,23600,457,,A321,B-6595,1710304799,KHN,PEK,CA1538,CA,0,0,CCA1538,CCA
34579903,780CB8,208,34775,428,,B748,B-2487,1710304796,PEK,SHA,CA1557,CA,0,-960,CCA1557,CCA
3457a041,7806EF,335,33200,406,,A321,B-6741,1710304795,WNZ,PEK,CA1568,CA,0,768,CCA1568,CCA
34579f6d,7805B0,294,17700,342,,A321,B-6596,1710304791,WEH,PEK,CA1588,CA,0,64,CCA1588,CCA
3457a1db,78031E,352,27600,434,,B738,B-5327,1710304799,YNZ,PEK,CA1592,CA,0,-64,CCA1592,CCA
34579fd7,78037B,234,34100,425,,A332,B-6093,1710304799,HRB,PEK,CA1644,CA,0,0,CCA1644,CCA
3457780b,7810BD,192,14350,391,,A321,B-8800,1710304799,SHE,PEK,CA1652,CA,0,-1920,CCA1652,CCA
3457a27b,7804E8,103,33100,524,,A321,B-6383,1710304799,PEK,HND,CA167,CA,0,-64,CCA167,CCA
