id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
34579f00,780E36,160,0,25,,A320,B-MCB,1710302873,MFM,PEK,NX2,NX,1,0,AMU002,AMU
3457799b,781600,4,27025,425,,A320,B-MCI,1710302871,MFM,SHA,NX110,NX,0,-1984,AMU110,AMU
34576ef6,7811D8,340,875,150,,A321,B-MCG,1710302857,SHA,MFM,NX137,NX,0,-960,AMU137,AMU
34577315,780EC4,219,9100,190,,A320,B-MCF,1710302866,TPE,MFM,NX631,NX,0,-1216,AMU631,AMU
34575b81,7816AF,63,35000,552,,A20N,B-MBO,1710302874,MFM,NRT,NX862,NX,0,0,AMU862,AMU
34577cfc,781B47,216,31000,454,,A21N,B-MBS,1710302873,MFM,SIN,NX908,NX,0,0,AMU908,AMU
345761f5,78041C,211,32000,467,,A321,B-MBB,1710302874,MFM,KUL,NX922,NX,0,0,AMU922,AMU
345799fc,781307,61,11775,335,,A320,B-MCH,1710302874,BKK,MFM,NX995,NX,0,2048,AMU995,AMU
34579638,780EB3,264,30075,387,,A321,B-MCC,1710302875,HFE,TFU,CA2606,CA,0,0,CCA2606,AMU
34569eb8,78007E,137,33875,528,,B744,B-2475,1710302725,AMS,PVG,CAO1024,CA,0,1408,CAO1024,CAO
3455a3c0,780BB8,209,34100,461,,B77L,B-2097,1710302723,ORD,PVG,CAO1046,CA,0,0,CAO1046,CAO
34574215,780BB6,341,32000,463,,B77L,B-2095,1710302723,JFK,PVG,CA1078,CA,0,0,CAO1078,CAO
3456638a,780C5C,142,35100,520,,B77L,B-2092,1710302726,MXP,PVG,CAO3118,CA,0,0,CAO3118,CAO
3456dcf6,781E95,274,32000,432,,B77L,B-222S,1710302724,PEK,MXP,CAO3123,CA,0,0,CAO3123,CAO
3457220b,780D8F,316,36000,405,,B77L,B-2094,1710302724,LAX,SZX,CAO3126,CA,0,0,CAO3126,CAO
34563256,780C5D,147,35100,516,,B77L,B-2093,1710302725,MAD,HGH,CAO3136,CA,0,0,CAO3136,CAO
345620d1,780C5B,242,32000,471,,B77L,B-2091,1710302725,PVG,MAD,CAO8403,CA,0,0,CAO8403,CAO
345781eb,7807B9,304,21700,336,,E190,B-3185,1710302819,FOC,YIH,GX2026,GX,0,0,CBG2026,CBG
34579e3f,780732,145,22600,404,,E190,B-3178,1710302811,YIH,HUZ,GX2041,GX,0,-64,CBG2041,CBG
345798e2,781089,47,31125,482,,A320,B-8733,1710302819,TFU,TNA,GX7882,GX,0,0,CBG7882,CBG
34577f5c,7804C0,34,24600,421,,E190,B-3122,1710302819,CSX,YLX,GX7893,GX,0,-64,CBG7894,CBG
