id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
345792f5,780B09,195,27625,460,,B738,B-5787,1710303636,SQD,SYX,SC8859,SC,0,0,CDG8859,CDG
3457a162,78099F,4,22600,423,,B738,B-5723,1710303639,WUH,TNA,SC8874,SC,0,0,CDG8874,CDG
3457a604,780B06,320,14350,355,,B738,B-5783,1710303635,CSX,TNA,SC8892,SC,0,2048,CDG8892,CDG
34574f8f,780638,314,17475,332,,B738,B-1307,1710303623,KMG,ICN,MU2003,MU,0,-960,CES2003,CES
34561e4a,7808E6,245,34000,454,,A332,B-5902,1710303625,PVG,LGW,MU201,MU,0,0,CES201,CES
34578c80,781334,5,24975,432,,A320,B-1051,1710303623,TPE,NGB,MU2010,MU,0,-960,CES2010,CES
34576d30,781859,160,0,14,,A20N,B-30CX,1710303625,XIY,HKG,MU203,MU,1,0,CES203,CES
345786b2,79A04D,343,9575,224,,A320,B-6003,1710303623,ICN,TAO,MU2040,MU,0,-64,CES2040,CES
3457708d,781C4E,212,34100,404,,A20N,B-325R,1710303627,PVG,CNX,MU205,MU,0,-64,CES205,CES
3457a65f,780EBD,233,0,5,,A321,B-8172,1710303612,ICN,,MU2073,MU,1,0,CES2073,CES
3457790f,780611,190,11775,308,,A321,B-6642,1710303623,PVG,OKA,MU2085,MU,0,0,CES2085,CES
34579704,7816E3,63,26375,486,,A20N,B-308W,1710303623,XIY,PKX,MU2105,MU,0,-960,CES2105,CES
34578e06,781E3F,243,19700,356,,A20N,B-32C5,1710303619,PKX,XIY,MU2106,MU,0,64,CES2106,CES
3457a753,781D9F,315,10825,246,,A20N,B-329C,1710303625,XIY,PKX,MU2107,MU,0,4224,CES2107,CES
345799f7,79A05F,74,35100,569,,A320,B-6010,1710303623,WMT,NGB,MU2130,MU,0,0,CES2130,CES
34578c27,781BA7,356,29150,428,,A20N,B-323Y,1710303623,XIY,CGQ,MU2141,MU,0,0,CES2141,CES
34578e55,780B82,60,35100,567,,B738,B-5857,1710303626,KMG,TYN,MU2144,MU,0,0,CES2144,CES
345793c8,780B7A,76,29100,506,,A321,B-9971,1710303625,XIY,SHA,MU2155,MU,0,0,CES2155,CES
3457a3da,782029,136,22600,454,,C919,B-919D,1710303626,XIY,SHA,MU2157,MU,0,0,CES2157,CES
3457a2f2,7808EF,199,13800,367,,A319,B-6423,1710303619,ENY,XIY,MU2159,MU,0,-64,CES2159,CES
34578786,7804AD,31,17700,332,,A320,B-6375,1710303625,KMG,XIY,MU2182,MU,0,0,CES2182,CES
345785a2,781CC0,265,34050,386,,A20N,B-326Z,1710303627,SHE,XIY,MU2184,MU,0,0,CES2184,CES
3455eb4c,780D9C,249,1425,148,,B77W,B-2020,1710303624,PVG,FRA,MU219,MU,0,-768,CES219,CES
34578bfd,781E40,357,34100,399,,A20N,B-32C6,1710303626,KMG,INC,MU2206,MU,0,0,CES2206,CES
34578cdd,781B64,330,25625,348,,A20N,B-323A,1710303623,XMN,XIY,MU2214,MU,0,64,CES2214,CES
